"installation","plot_id","veg_id","under_50cm","50-99cm","over_100cm","date","notes","scientific_name","functional_group","Genus","Species","Status","functional_group__1"
"shelby","d1","SAAL5",NA,NA,1,20170923,NA,"Sassafras albidum","shrub","Sassafras","albidum","native","shrub"
"shelby","d1","VACCI",NA,NA,6,20170923,"changed to vaccinium from red speckle","Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"shelby","b2","CAAM",NA,NA,19,20170924,NA,"Callicarpa americana","shrub","Callicarpa","americana","native","shrub"
"shelby","b3","CAAM",NA,NA,64,20170924,NA,"Callicarpa americana","shrub","Callicarpa","americana","native","shrub"
"shelby","g1","DIVI",NA,NA,5,20170924,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"shelby","b3","EUCA5",NA,NA,27,20170924,NA,"Eupatorium capillofolium","forb","Eupatorium","capillofolium","native","forb"
"shelby","b2","ILGL",NA,NA,134,20170924,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"shelby","b3","ILGL",NA,NA,8,20170924,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"shelby","g1","ILGL",NA,NA,131,20170924,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"shelby","b3","ILVO",NA,NA,2,20170924,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"shelby","g1","ILVO",NA,NA,51,20170924,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"shelby","b2","LEBI",NA,NA,1,20170924,NA,"Lespedeza bicolor Turcz.","forb/shrub","Lespedeza","bicolor Turcz.","invasive","forb/shrub"
"shelby","b3","LEBI",NA,NA,7,20170924,NA,"Lespedeza bicolor Turcz.","forb/shrub","Lespedeza","bicolor Turcz.","invasive","forb/shrub"
"shelby","g1","LIST",NA,NA,8,20170924,NA,"Liquidambar styraciflua","tree","Liquidambar","styraciflua","native","tree"
"shelby","g1","MAGNO",NA,NA,14,20170924,NA,"Magnolia spp.","shrub/tree","Magnolia","spp.","native/introduced","shrub/tree"
"shelby","b2","MAVI",NA,NA,31,20170924,NA,"Magnolia virginiana","tree","Magnolia","virginiana","native","tree"
"shelby","b3","MOCE",NA,NA,7,20170924,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"shelby","g1","MOCE",NA,NA,5,20170924,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"shelby","b3","PIPA",NA,NA,2,20170924,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"shelby","g1","PIPA",NA,NA,2,20170924,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"shelby","b2","QUIN",NA,NA,4,20170924,NA,"Quercus incana","tree","Quercus","incana","native","tree"
"shelby","b3","QUIN",NA,NA,2,20170924,NA,"Quercus incana","tree","Quercus","incana","native","tree"
"shelby","g1","QUIN",NA,NA,10,20170924,NA,"Quercus incana","tree","Quercus","incana","native","tree"
"shelby","b2","QUNI",NA,NA,24,20170924,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"shelby","b3","QUNI",NA,NA,4,20170924,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"shelby","g1","QUNI",NA,NA,31,20170924,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"shelby","b3","QUST",NA,NA,7,20170924,NA,"Quercus stellata","tree","Quercus","stellata","native","tree"
"shelby","b2","RHCO",NA,NA,5,20170924,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"shelby","g1","RHCO",NA,NA,10,20170924,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"shelby","g1","VACCI",NA,NA,8,20170924,NA,"Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"blanding","m1","ASIMI",NA,NA,2,20180515,NA,"Asimina spp.","shrub","Asimina","spp.","native/introduced","shrub"
"blanding","m1","DIVI",NA,NA,16,20180515,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","m1","PIPA",NA,NA,1,20180515,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"blanding","i1","QUIN",NA,NA,2,20180515,NA,"Quercus incana","tree","Quercus","incana","native","tree"
"blanding","m1","QUNI",NA,NA,2,20180515,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"blanding","i1","SERE",NA,NA,1,20180515,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"blanding","c1","ASTR",NA,NA,2,20180516,"corrected arst wiregrass to ASTR pawpaw","Asimina triloba","tree","Asimina","triloba","native","tree"
"blanding","theater_cogon",NA,NA,NA,0,20180516,"placeholder zero for plot visit",NA,NA,NA,NA,NA,NA
"blanding","k1","QUNI",NA,NA,2,20180522,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"blanding","n1","ASIMI",NA,NA,6,20180524,NA,"Asimina spp.","shrub","Asimina","spp.","native/introduced","shrub"
"blanding","n1","DIVI",NA,NA,1,20180524,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
"blanding","n1","QULA",NA,NA,1,20180524,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"blanding","n1","QUNI",NA,NA,5,20180524,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"blanding","n1","RHCO",NA,NA,1,20180524,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"blanding","i1","QUGE",NA,NA,1,20180525,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"blanding","j1","QUGE",NA,NA,3,20180525,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"blanding","j1","QUMY",NA,NA,1,20180525,NA,"Quercus myrtifolia","tree","Quercus","myrtifolia","native","tree"
"blanding","i1","QUNI",NA,NA,3,20180525,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"avonpark","e2","RHCO",NA,NA,1,20180529,NA,"Rhus copallinum","shrub","Rhus","copallinum","native","shrub"
"avonpark","e2","SERE",NA,NA,2,20180529,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","e1",NA,NA,NA,0,20180529,"placeholder zero for plot visit",NA,NA,NA,NA,NA,NA
"avonpark","a1","ASIMI",NA,NA,1,20180530,NA,"Asimina spp.","shrub","Asimina","spp.","native/introduced","shrub"
"avonpark","a2","ILGL",NA,NA,1,20180530,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"avonpark","a1","SERE",NA,NA,6,20180530,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","a2","SERE",NA,NA,10,20180530,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","g1","ILGL",NA,NA,43,20180531,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"avonpark","c2","MOCE",NA,NA,9,20180531,NA,"Morella cerifera","shrub","Morella","cerifera","native","shrub"
"avonpark","c2","PIPA",NA,NA,1,20180531,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"avonpark","c2","SERE",NA,NA,41,20180531,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","f1","SERE",NA,NA,1,20180531,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","c1","SERE",NA,NA,10,20180531,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","i1","ILGL",NA,NA,39,20180601,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"avonpark","h1","SERE",NA,NA,3,20180601,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"avonpark","i1","SERE",NA,NA,9,20180601,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","g1","CAAM",NA,NA,4,20180611,NA,"Callicarpa americana","shrub","Callicarpa","americana","native","shrub"
"eglin","g1","CRAR2",NA,NA,22,20180611,NA,"Croton argyranthemus","forb","Croton","argyranthemus","native","forb"
"eglin","g1","ILVO",NA,NA,1,20180611,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"eglin","e1","PICL",NA,NA,2,20180611,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
"eglin","a1","PIPA",NA,NA,1,20180611,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"eglin","g1","QUAL",NA,NA,5,20180611,NA,"Quercus alba","tree","Quercus","alba","native","tree"
"eglin","g1","QUGE",NA,NA,2,20180611,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"eglin","a1","QULA",NA,NA,8,20180611,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","g1","QULA",NA,NA,2,20180611,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","a1","SERE",NA,NA,6,20180611,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","g1","SERE",NA,NA,9,20180611,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","i1","BAMBU",NA,NA,6,20180612,NA,"Bambusa spp.","graminoid","Bambusa","spp.","introduced","graminoid"
"eglin","i1","ILGL",NA,NA,7,20180612,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"eglin","i1","ILEX",NA,NA,32,20180612,NA,"Ilex spp.","shrub","Ilex","spp.","native/introduced","shrub"
"eglin","i1","ILVO",NA,NA,4,20180612,NA,"Ilex vomitoria","shrub","Ilex","vomitoria","native","shrub"
"eglin","i1","PEBO",NA,NA,1,20180612,NA,"Persea borbonia","tree","Persea","borbonia","native","tree"
"eglin","i1","QUFA",NA,NA,23,20180612,"?? Rubus? Or north/southern red SC 8/30. changed to southern red oak from rubus oak","Quercus falcata","tree","Quercus","falcata","native","tree"
"eglin","i1","QUNI",NA,NA,19,20180612,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"eglin","i1","VACCI",NA,NA,7,20180612,NA,"Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"eglin","c1","QUHE",NA,NA,1,20180613,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
"eglin","j1","QUHE",NA,NA,8,20180613,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
"eglin","j1","QULA",NA,NA,1,20180613,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","c1","QUNI",NA,NA,2,20180613,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"eglin","c1","SERE",NA,NA,1,20180613,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","j1","SERE",NA,NA,3,20180613,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"eglin","j1","VACCI",NA,NA,3,20180613,NA,"Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"eglin","f1","CRATA",NA,NA,4,20180615,NA,"Crataegus spp.","shrub","Crataegus","spp.","native/introduced","shrub"
"eglin","f1","CRAR2",NA,NA,15,20180615,NA,"Croton argyranthemus","forb","Croton","argyranthemus","native","forb"
"eglin","b2","PIPA",NA,NA,5,20180615,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"eglin","f1","PIPA",NA,NA,2,20180615,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
"eglin","f1","QUGE",NA,NA,10,20180615,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
"eglin","f1","QUHE",NA,NA,2,20180615,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
"eglin","f1","QULA",NA,NA,4,20180615,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
"eglin","f1","QUNI",NA,NA,7,20180615,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
"eglin","b2","SERE",NA,NA,11,20180615,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"tyndall","d2","ILGL",NA,NA,5,20180625,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"tyndall","d2","MAGNO",NA,NA,17,20180625,NA,"Magnolia spp.","shrub/tree","Magnolia","spp.","native/introduced","shrub/tree"
"tyndall","d2","PIEL",NA,NA,1,20180625,NA,"Pinus elliottii","tree","Pinus","elliottii","native","tree"
"tyndall","b2","SERE",NA,NA,1,20180625,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
"tyndall","d2","LITR",NA,NA,61,20180625,NA,NA,NA,NA,NA,NA,NA
"tyndall","d2","VACCI",NA,NA,27,20180625,NA,"Vaccinium spp.","shrub","Vaccinium","spp.","native","shrub"
"tyndall","c1","ILGL",NA,NA,333,20180626,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"tyndall","c2","ILGL",NA,NA,238,20180626,NA,"Ilex glabra","shrub","Ilex","glabra","native","shrub"
"tyndall","c1","LYFE",NA,NA,1,20180626,"changed to rusty staggerbush","Lyonia ferruginea","shrub","Lyonia","ferruginea","native","shrub"
"tyndall","c2","QUMY",NA,NA,2,20180626,NA,"Quercus myrtifolia","tree","Quercus","myrtifolia","native","tree"
"tyndall","c1","SERE",NA,NA,3,20180626,NA,"Serenoa repens","shrub/tree","Serenoa","repens","native","shrub/tree"
